Image Name,Raw Endings (Noisy),Raw Bifurcations (Noisy),Spur-Pruned Endings,Spur-Pruned Bifurcations,Final Endings (Clean),Final Bifurcations (Clean)
00005_72.bmp,59,195,2,138,2,15
00005_73.bmp,57,191,2,136,2,18
00005_74.bmp,32,245,0,213,0,14
00005_75.bmp,28,307,1,280,1,12
00005_76.bmp,42,250,0,208,0,22
00005_77.bmp,40,304,0,264,0,20
00005_78.bmp,44,289,0,245,0,15
00005_79.bmp,39,335,0,296,0,17
00006_00.bmp,16,293,1,278,1,10
00006_01.bmp,20,283,0,263,0,15
00006_02.bmp,33,228,0,195,0,17
00006_03.bmp,14,293,0,279,0,16
00006_04.bmp,31,255,2,226,2,15
00006_05.bmp,20,307,0,287,0,14
00006_06.bmp,22,264,0,242,0,18
00006_07.bmp,22,245,0,223,0,16
00006_08.bmp,18,308,1,291,1,10
00006_09.bmp,22,298,1,277,1,11
00006_10.bmp,12,342,0,330,0,11
00006_11.bmp,26,233,4,211,4,11
00006_12.bmp,39,244,1,206,1,11
00006_13.bmp,30,260,0,230,0,11
00006_14.bmp,12,304,0,292,0,15
00006_15.bmp,19,312,1,294,1,2
00006_16.bmp,20,314,0,294,0,18
00006_17.bmp,13,320,2,309,2,12
00006_18.bmp,18,313,1,296,1,13
00006_19.bmp,11,341,0,330,0,8
00006_20.bmp,17,264,0,247,0,12
00006_21.bmp,31,201,1,171,1,24
00006_22.bmp,19,242,0,223,0,15
00006_23.bmp,19,246,0,227,0,10
00006_24.bmp,20,262,0,242,0,6
00006_25.bmp,28,246,0,218,0,14
00006_26.bmp,20,235,1,216,1,13
00006_27.bmp,16,275,1,260,1,10
00006_28.bmp,27,246,0,219,0,18
00006_29.bmp,20,235,0,215,0,14
00006_30.bmp,16,340,1,325,1,10
00006_31.bmp,23,260,0,237,0,9
00006_32.bmp,29,258,1,230,1,11
00006_33.bmp,23,314,0,291,0,7
00006_34.bmp,14,348,0,334,0,9
00006_35.bmp,13,344,0,331,0,11
00006_36.bmp,15,304,0,289,0,12
00006_37.bmp,11,314,1,304,1,18
00006_38.bmp,11,264,0,253,0,12
00006_39.bmp,16,336,0,320,0,17
00006_40.bmp,19,349,0,330,0,13
00006_41.bmp,29,329,0,300,0,14
00006_42.bmp,19,334,0,315,0,12
00006_43.bmp,34,324,0,290,0,13
00006_44.bmp,14,292,0,278,0,15
00006_45.bmp,22,296,0,274,0,9
00006_46.bmp,18,281,0,263,0,20
00006_47.bmp,18,331,0,313,0,11
00006_48.bmp,20,295,0,275,0,9
00006_49.bmp,20,308,0,288,0,14
00006_50.bmp,9,345,0,336,0,11
00006_51.bmp,16,325,0,309,0,9
00006_52.bmp,26,189,1,164,1,15
00006_53.bmp,26,216,1,191,1,14
00006_54.bmp,9,386,0,377,0,11
00006_55.bmp,13,298,0,285,0,12
00006_56.bmp,8,349,0,341,0,8
00006_57.bmp,13,291,0,278,0,12
00006_58.bmp,10,388,0,378,0,11
00006_59.bmp,16,325,0,309,0,14
00006_60.bmp,14,288,0,274,0,17
00006_61.bmp,46,211,0,165,0,17
00006_62.bmp,33,214,3,184,3,12
00006_63.bmp,36,211,1,176,1,16
00006_64.bmp,25,260,0,235,0,12
00006_65.bmp,17,270,0,253,0,9
00006_66.bmp,22,255,0,233,0,14
00006_67.bmp,29,253,0,224,0,20
00006_68.bmp,25,264,0,239,0,23
00006_69.bmp,13,289,0,276,0,10
00006_70.bmp,16,313,0,297,0,17
00006_71.bmp,38,287,0,249,0,14
00006_72.bmp,56,192,2,138,2,19
00006_73.bmp,46,158,1,113,1,7
00006_74.bmp,17,299,0,282,0,13
00006_75.bmp,36,271,0,235,0,19
00006_76.bmp,33,299,0,266,0,10
00006_77.bmp,36,268,0,232,0,13
00006_78.bmp,17,299,0,282,0,13
00006_79.bmp,21,318,0,297,0,21
00007_00.bmp,20,274,0,254,0,8
00007_01.bmp,24,218,1,195,1,13
00007_02.bmp,21,261,0,240,0,16
00007_03.bmp,38,226,1,189,1,14
00007_04.bmp,23,229,0,206,0,17
00007_05.bmp,17,237,0,220,0,11
00007_06.bmp,19,244,0,225,0,13
00007_07.bmp,19,237,0,218,0,13
00007_08.bmp,27,207,1,181,1,17
00007_09.bmp,17,246,0,229,0,14
00007_10.bmp,26,270,0,244,0,12
00007_11.bmp,58,189,2,133,2,22
00007_12.bmp,55,187,2,134,2,20
00007_13.bmp,52,164,4,116,4,17
00007_14.bmp,39,217,0,178,0,16
00007_15.bmp,37,210,0,173,0,15
00007_16.bmp,38,238,0,200,0,16
00007_17.bmp,40,196,0,156,0,16
00007_18.bmp,36,235,0,199,0,16
00007_19.bmp,30,232,0,202,0,14
00007_20.bmp,22,253,0,231,0,16
00007_21.bmp,56,111,11,66,11,12
00007_22.bmp,69,118,14,63,14,12
00007_23.bmp,62,131,10,79,10,15
00007_24.bmp,23,264,0,241,0,7
00007_25.bmp,15,294,0,279,0,13
00007_26.bmp,41,256,1,216,1,11
00007_27.bmp,34,226,3,195,3,20
00007_28.bmp,41,198,2,159,2,17
00007_29.bmp,30,210,0,180,0,21
00007_30.bmp,19,280,0,261,0,13
00007_31.bmp,25,272,1,248,1,17
00007_32.bmp,40,181,0,141,0,24
00007_33.bmp,54,169,2,117,2,10
00007_34.bmp,23,238,0,215,0,13
00007_35.bmp,30,212,2,184,2,15
00007_36.bmp,16,271,0,255,0,15
00007_37.bmp,34,258,0,224,0,19
00007_38.bmp,39,230,3,194,3,16
00007_39.bmp,28,241,1,214,1,17
00007_40.bmp,25,290,0,265,0,20
00007_41.bmp,39,245,0,206,0,19
00007_42.bmp,28,258,0,230,0,19
00007_43.bmp,53,150,8,105,8,15
00007_44.bmp,28,232,1,205,1,23
00007_45.bmp,24,259,0,235,0,14
00007_46.bmp,31,233,1,203,1,11
00007_47.bmp,38,210,1,173,1,17
00007_48.bmp,18,237,0,219,0,18
00007_49.bmp,28,232,1,205,1,23
00007_50.bmp,33,266,1,234,1,12
00007_51.bmp,68,156,3,91,3,15
00007_52.bmp,59,180,3,124,3,17
00007_53.bmp,55,188,1,134,1,20
00007_54.bmp,33,249,0,216,0,19
00007_55.bmp,34,219,0,185,0,19
00007_56.bmp,38,203,1,166,1,15
00007_57.bmp,30,284,0,254,0,15
00007_58.bmp,45,223,1,179,1,13
00007_59.bmp,40,212,0,172,0,12
00007_60.bmp,19,222,0,203,0,21
00007_61.bmp,55,178,7,130,7,17
00007_62.bmp,56,150,6,100,6,16
00007_63.bmp,45,187,3,145,3,20
00007_64.bmp,27,254,0,227,0,15
00007_65.bmp,19,284,0,265,0,5
00007_66.bmp,24,256,2,234,2,13
00007_67.bmp,34,216,2,184,2,9
00007_68.bmp,32,231,4,203,4,13
00007_69.bmp,26,247,1,222,1,16
00007_70.bmp,14,233,1,220,1,14
00007_71.bmp,27,208,3,184,3,16
00007_72.bmp,25,171,2,148,2,16
00007_73.bmp,30,189,3,162,3,17
00007_74.bmp,14,242,0,228,0,13
00007_75.bmp,15,276,0,261,0,9
00007_76.bmp,9,269,0,260,0,10
